Name;Country;Lineage;Drug;Collected_Date
SRR4033697;South Africa;lineage 4;Sensitive;2013-09
SRR4033698;South Africa;lineage 4;Sensitive;2013-09
SRR4033699;South Africa;lineage 4;Sensitive;2013-09
SRR4033700;South Africa;lineage 4;Sensitive;2013-08
SRR4033701;South Africa;lineage 4;Sensitive;2013-09
SRR4033702;South Africa;lineage 4;Sensitive;2013-09
SRR4033703;South Africa;lineage 4;Sensitive;2013-09
SRR4033704;South Africa;lineage 4;Sensitive;2013-09
SRR4033705;South Africa;lineage 4;Sensitive;2013-09
SRR4033706;South Africa;lineage 4;Sensitive;2013-09
SRR4033707;South Africa;lineage 4;Sensitive;2013-09
SRR4033708;South Africa;lineage 4;Sensitive;2013-09
SRR4033709;South Africa;lineage 4;Sensitive;2013-09
SRR4033710;South Africa;lineage 4;Sensitive;2013-09
SRR4033711;South Africa;lineage 4;Sensitive;2013-08
SRR4033712;South Africa;lineage 4;Sensitive;2013-09
SRR4033713;South Africa;lineage 4;Sensitive;2013-09
SRR4033714;South Africa;lineage 4;Sensitive;2013-09
SRR4033715;South Africa;lineage 4;Sensitive;2013-09
SRR4033716;South Africa;lineage 4;Sensitive;2013-09
SRR4033717;South Africa;lineage 2;Sensitive;2013-09
SRR4033718;South Africa;lineage 2;Sensitive;2013-09
SRR4033719;South Africa;lineage 2;Sensitive;2013-09
SRR4033720;South Africa;lineage 2;Sensitive;2013-09
SRR4033721;South Africa;lineage 2;Sensitive;2013-09
SRR4033722;South Africa;lineage 4;Sensitive;2013-08
SRR4033723;South Africa;lineage 2;Sensitive;2013-09
SRR4033724;South Africa;lineage 2;Sensitive;2013-09
SRR4033725;South Africa;lineage 2;Sensitive;2013-09
SRR4033726;South Africa;lineage 2;Sensitive;2013-09
SRR4033727;South Africa;lineage 2;Sensitive;2013-09
SRR4033728;South Africa;lineage 2;Sensitive;2013-09
SRR4033729;South Africa;lineage 2;Sensitive;2013-09
SRR4033730;South Africa;lineage 2;Sensitive;2013-09
SRR4033731;South Africa;lineage 2;Sensitive;2013-09
SRR4033732;South Africa;lineage 2;Sensitive;2013-09
SRR4033733;South Africa;lineage 4;Sensitive;2013-08
SRR4033734;South Africa;lineage 4;Sensitive;2013-08
SRR4033735;South Africa;lineage 2;Sensitive;2013-09
SRR4033736;South Africa;lineage 2;Sensitive;2013-09
SRR4033737;South Africa;lineage 2;Sensitive;2013-09
SRR4033738;South Africa;lineage 2;Sensitive;2013-09
SRR4033739;South Africa;lineage 2;Sensitive;2013-09
SRR4033740;South Africa;lineage 2;Sensitive;2013-09
SRR4033741;South Africa;lineage 2;Sensitive;2013-09
SRR4033742;South Africa;lineage 2;Sensitive;2013-09
SRR4033743;South Africa;lineage 2;Sensitive;2013-09
SRR4033744;South Africa;lineage 2;Sensitive;2013-09
SRR4033745;South Africa;lineage 4;Sensitive;2013-08
SRR4033746;South Africa;lineage 2;Sensitive;2013-09
SRR4033747;South Africa;lineage 2;Sensitive;2013-09
SRR4033748;South Africa;lineage 2;Sensitive;2013-09
SRR4033749;South Africa;lineage 2;Sensitive;2013-09
SRR4033750;South Africa;lineage 2;Sensitive;2013-09
SRR4033751;South Africa;lineage 2;Sensitive;2013-09
SRR4033752;South Africa;lineage 2;Sensitive;2013-09
SRR4033753;South Africa;lineage 2;Sensitive;2013-09
SRR4033754;South Africa;lineage 2;Sensitive;2013-09
SRR4033755;South Africa;lineage 2;Sensitive;2013-09
SRR4033756;South Africa;lineage 4;Sensitive;2013-08
SRR4033757;South Africa;lineage 2;Sensitive;2013-09
SRR4033758;South Africa;lineage 2;Sensitive;2013-09
SRR4033759;South Africa;lineage 2;Sensitive;2013-10
SRR4033760;South Africa;lineage 2;Sensitive;2013-10
SRR4033761;South Africa;lineage 2;Sensitive;2013-10
SRR4033762;South Africa;lineage 2;Sensitive;2013-10
SRR4033763;South Africa;lineage 2;Sensitive;2013-10
SRR4033764;South Africa;lineage 2;Sensitive;2013-10
SRR4033765;South Africa;lineage 2;Sensitive;2013-10
SRR4033766;South Africa;lineage 2;Sensitive;2013-10
SRR4033767;South Africa;lineage 4;Sensitive;2013-08
SRR4033768;South Africa;lineage 2;Sensitive;2013-10
SRR4033769;South Africa;lineage 2;Sensitive;2013-10
SRR4033770;South Africa;lineage 2;Sensitive;2013-10
SRR4033771;South Africa;lineage 2;Sensitive;2013-10
SRR4033772;South Africa;lineage 2;Sensitive;2013-10
SRR4033773;South Africa;lineage 2;Sensitive;2013-10
SRR4033774;South Africa;lineage 2;Sensitive;2013-10
SRR4033775;South Africa;lineage 2;Sensitive;2013-10
SRR4033776;South Africa;lineage 2;Sensitive;2013-10
SRR4033777;South Africa;lineage 2;Sensitive;2013-10
SRR4033778;South Africa;lineage 4;Sensitive;2013-08
SRR4033779;South Africa;lineage 2;Sensitive;2013-10
SRR4033780;South Africa;lineage 2;Sensitive;2013-10
SRR4033781;South Africa;lineage 2;Sensitive;2013-10
SRR4033782;South Africa;lineage 2;Sensitive;2013-10
SRR4033783;South Africa;lineage 2;Sensitive;2013-10
SRR4033784;South Africa;lineage 2;Sensitive;2013-10
SRR4033785;South Africa;lineage 2;Sensitive;2013-10
SRR4033786;South Africa;lineage 2;Sensitive;2013-10
SRR4033787;South Africa;lineage 2;Sensitive;2013-10
SRR4033788;South Africa;lineage 2;Sensitive;2013-10
SRR4033789;South Africa;lineage 4;Sensitive;2013-08
SRR4033790;South Africa;lineage 2;Sensitive;2013-10
SRR4033791;South Africa;lineage 2;Sensitive;2013-10
SRR4033792;South Africa;lineage 2;Sensitive;2013-10
SRR4033793;South Africa;lineage 2;Sensitive;2013-10
SRR4033794;South Africa;lineage 2;Sensitive;2013-10
SRR4033795;South Africa;lineage 2;Sensitive;2013-10
SRR4033796;South Africa;lineage 2;Sensitive;2013-10
SRR4033797;South Africa;lineage 2;Sensitive;2013-10
SRR4033798;South Africa;lineage 2;Sensitive;2013-10
SRR4033799;South Africa;lineage 2;Sensitive;2013-10
SRR4033800;South Africa;lineage 4;Sensitive;2013-08
SRR4033801;South Africa;lineage 2;Sensitive;2013-10
SRR4033802;South Africa;lineage 2;Sensitive;2013-10
SRR4033803;South Africa;lineage 2;Sensitive;2013-10
SRR4033804;South Africa;lineage 2;Sensitive;2013-10
SRR4033805;South Africa;lineage 2;Sensitive;2013-10
SRR4033806;South Africa;lineage 2;Sensitive;2013-10
SRR4033807;South Africa;lineage 2;Sensitive;2013-10
SRR4033808;South Africa;lineage 2;Sensitive;2013-10
SRR4033809;South Africa;lineage 2;Sensitive;2013-10
SRR4033810;South Africa;lineage 2;Sensitive;2013-10
SRR4033811;South Africa;lineage 4;Sensitive;2013-08
SRR4033812;South Africa;lineage 2;Sensitive;2013-10
SRR4033813;South Africa;lineage 2;Sensitive;2013-10
SRR4033814;South Africa;lineage 2;Sensitive;2013-10
SRR4033815;South Africa;lineage 2;Sensitive;2013-10
SRR4033816;South Africa;lineage 2;Sensitive;2013-10
SRR4033817;South Africa;lineage 2;Sensitive;2013-10
SRR4033818;South Africa;lineage 2;Sensitive;2013-10
SRR4033819;South Africa;lineage 2;Sensitive;2013-10
SRR4033820;South Africa;lineage 2;Sensitive;2013-10
